,cancerType
samp189_0cfccd17_0acd_48fb_8c0d_a06960e62ab4_LUCA,LUCA
samp190_f9698bdc_4af4_4ad9_9df7_f3e7a9f94c67_LECA,LECA
samp191_f995acfb_82fc_47ae_bba9_de699337ee15_KICA,KICA
samp192_ebf8d429_0437_4987_9bca_89e62910f168_LUCA,LUCA
samp193_91cffd1e_c578_4714_949a_9dcc0d0ea45f_LECA,LECA
samp194_156763d2_c3a6_4a0e_af4d_67c1ade9d043_LECA,LECA
samp195_a739e3ff_f172_4f9c_94b6_b9fcc4458627_BRCA,BRCA
samp196_3d11905a_16eb_40b2_a36b_e37dca6359d3_LUCA,LUCA
samp197_eb5ad680_6080_41fe_982e_e46f90c3849f_COCA,COCA
samp198_65b27bca_a10f_45d6_abeb_713c533d9f3d_LECA,LECA
samp199_a8084546_1aa8_4383_805b_684f19cd2625_LUCA,LUCA
samp200_83727155_3856_445b_bbab_7c785991c831_LECA,LECA
samp201_4c1cd8e1_befd_4323_9955_947fb79523a6_BRCA,BRCA
samp202_8515ebe1_96ca_4059_af75_dbd9e65611ac_LECA,LECA
samp203_94fcef8a_8f11_4fa2_9517_46eecc8797a9_LECA,LECA
samp204_0245dddc_1b8b_499e_bb1f_3e4fdcc92ed9_LUCA,LUCA
samp205_cba52f4f_eb3a_4475_8735_d5c9fd355b3d_BRACA,BRACA
samp206_3170b396_15d0_4287_80e0_85416c94eba4_BRCA,BRCA
samp207_71f1ff12_314a_462e_abc2_c09d4dd0ad62_LECA,LECA
samp208_eedd5d50_066a_41d4_a0ba_4348ea680bf2_KICA,KICA
samp209_b6689457_11c5_4930_b8f6_ebb578c36478_BRCA,BRCA
samp210_61ad862c_0bd2_4fcd_a9e1_f42e8099bd81_BRCA,BRCA
samp211_907aa04c_a817_49c6_9a7e_15b90bc2a2ea_KICA,KICA
samp212_d05914c2_e76a_4050_b0bf_db3a08c1892e_BRCA,BRCA
samp213_bc7450b0_862c_4591_93a2_ce593f100342_LECA,LECA
samp214_8dc8ccd2_a842_4a48_a8db_007855733fc0_LUCA,LUCA
samp215_b64598e5_b8fc_4de1_8c6d_7418e867f0d3_BRACA,BRACA
samp216_343f6d02_ddad_4775_96e8_a9cb223260bb_KICA,KICA
samp217_05b0287c_095f_4cf1_a817_9f16abdda5c7_BRCA,BRCA
samp218_c174e0ae_4b0a_4170_9122_b7da8ec61eac_COCA,COCA
samp219_2db5e0aa_342e_4766_8725_c1d677fd52b2_BRCA,BRCA
samp220_08a14e13_810a_4862_9de9_16b4fea25625_BRCA,BRCA
samp221_e25887be_64fe_4e7c_983b_4fbdec52c4b7_LUCA,LUCA
samp222_f252ddab_840c_4077_a359_9c050d3b5717_LECA,LECA
samp223_bdba14fb_88aa_43b0_8c25_53948b9935b7_BRCA,BRCA
samp224_aeee03c3_20b3_4f96_b686_52111ce99a63_BRCA,BRCA
samp225_39add5a1_bb5f_4285_8edb_09ef479be777_LECA,LECA
samp226_dd4c3aa6_090c_4e99_9d76_dba1201050fd_LUCA,LUCA
samp227_1e7abb00_ed2c_4533_9ead_bae78530cf08_KICA,KICA
samp228_a1e0ebc8_8193_471f_a4ca_d319c8f13811_LUCA,LUCA
samp229_882d1be3_1f82_41e7_8538_1ef513efef32_LUCA,LUCA
samp230_ec38731b_1bdd_43ed_94b9_a7b5ac5d8654_LECA,LECA
samp231_7cb25ac3_7016_456d_aaee_b054ad23f683_LECA,LECA
samp232_dc163db0_fcfc_4290_bd35_68f013a3bb39_LECA,LECA
samp233_cb8201f3_e945_4391_a8c6_60bf97410e58_LECA,LECA
samp234_65575a51_6350_4bf5_96b8_ca2062fbf511_LUCA,LUCA
samp235_a812e681_4bf9_41bd_80cc_74db6be37b03_LECA,LECA
samp236_ed0341d8_ee8e_4c97_aebc_acd6a8671f62_KICA,KICA
samp237_996d8c98_529a_4438_9db5_d49ff575af45_COCA,COCA
samp238_62298f43_7f8b_430e_9a23_0ee0ffbc1162_BRCA,BRCA
samp239_a5185f94_5e27_4254_9d09_40326ea423dd_LECA,LECA
samp240_52a6ea12_9c21_4fab_9346_8d74973198d6_LECA,LECA
samp241_6c3b2db1_8a86_422f_8567_1328345be457_LUCA,LUCA
samp242_787b1725_649c_4820_bb18_19b4d58ae486_LECA,LECA
samp243_9eb69ff7_492b_4ed3_8762_c25c3dffa1fe_BRCA,BRCA
